No.,Time,Source,Destination,Protocol,Length,Source,Destination,,,,,
8906,4.094953,2203667416,3300799413,10,70,131.89.75.216,196.190.51.181,,,,,
8907,4.095029,3296060531,3720884380,1,146,196.117.228.115,221.200.48.156,,,,,
8908,4.095548,3378060498,2203667416,10,1438,201.89.28.210,131.89.75.216,,,,,
8909,4.095755,3378060498,2203667416,10,512,201.89.28.210,131.89.75.216,,,,,
8910,4.095808,2203667393,1117874371,10,78,131.89.75.193,66.161.104.195,,,,,
8911,4.096371,2203667416,3378060498,10,70,131.89.75.216,201.89.28.210,,,,,
8912,4.096414,52736419,2203684463,11,710,3.36.177.163,131.89.142.111,,,,,
8913,4.09752,2203667416,3477385407,10,78,131.89.75.216,207.68.176.191,,,,,
8914,4.098221,3643796969,2203709475,10,1438,217.47.237.233,131.89.240.35,,,,,
8915,4.099256,2203709475,3643796969,10,64,131.89.240.35,217.47.237.233,,,,,
8916,4.099489,3643796969,2203709475,10,1438,217.47.237.233,131.89.240.35,,,,,
8917,4.099895,2203667416,3300799413,10,70,131.89.75.216,196.190.51.181,,,,,
8918,4.100533,2203709475,3643796969,10,64,131.89.240.35,217.47.237.233,,,,,
8919,4.100917,3643796969,2203709475,10,1438,217.47.237.233,131.89.240.35,,,,,
8920,4.101033,3375374709,2203664931,10,195,201.48.33.117,131.89.66.35,,,,,
8921,4.101516,2203664931,3375374709,10,70,131.89.66.35,201.48.33.117,,,,,
8922,4.101738,2203664931,3375374709,10,101,131.89.66.35,201.48.33.117,,,,,
8923,4.102059,3579365605,2203664976,10,594,213.88.200.229,131.89.66.80,,,,,
8924,4.102108,2203709475,3643796969,10,64,131.89.240.35,217.47.237.233,,,,,
8925,4.102755,2203667416,3476974038,10,70,131.89.75.216,207.62.105.214,,,,,
8926,4.102898,2203667416,3476974038,10,78,131.89.75.216,207.62.105.214,,,,,
8927,4.103597,2203664976,3579365605,10,64,131.89.66.80,213.88.200.229,,,,,
8928,4.104234,3643796969,2203709475,10,1438,217.47.237.233,131.89.240.35,,,,,
8929,4.104351,3521639917,2203667408,10,64,209.231.245.237,131.89.75.208,,,,,
8930,4.105132,2203667408,3521639917,10,594,131.89.75.208,209.231.245.237,,,,,
8931,4.105181,2203667408,3521639917,10,594,131.89.75.208,209.231.245.237,,,,,
8932,4.105231,2203667408,3521639917,10,594,131.89.75.208,209.231.245.237,,,,,
8933,4.10528,2203709475,3643796969,10,64,131.89.240.35,217.47.237.233,,,,,
8934,4.105925,3643796969,2203709475,10,1438,217.47.237.233,131.89.240.35,,,,,
8935,4.106042,3643427031,2203667408,10,64,217.42.72.215,131.89.75.208,,,,,
8936,4.106952,2203709475,3643796969,10,64,131.89.240.35,217.47.237.233,,,,,
8937,4.107491,2203667416,3300799413,10,78,131.89.75.216,196.190.51.181,,,,,
8938,4.107835,3374040914,2203689291,10,1438,201.27.199.82,131.89.161.75,,,,,
8939,4.107952,3375374709,2203664931,10,97,201.48.33.117,131.89.66.35,,,,,
8940,4.107961,3579317851,2203682442,10,64,213.88.14.91,131.89.134.138,,,,,
8941,4.108523,2203664931,3375374709,10,101,131.89.66.35,201.48.33.117,,,,,
8942,4.109986,2376784772,2203689291,10,1438,141.170.219.132,131.89.161.75,,,,,
8943,4.110265,3296060491,3579350585,10,70,196.117.228.75,213.88.142.57,,,,,
8944,4.111192,2376784772,2203689291,10,1438,141.170.219.132,131.89.161.75,,,,,
8945,4.111958,2203689291,2376784772,10,64,131.89.161.75,141.170.219.132,,,,,
8946,4.112658,3643796969,2203709475,10,1438,217.47.237.233,131.89.240.35,,,,,
8947,4.113693,2203709475,3643796969,10,64,131.89.240.35,217.47.237.233,,,,,
8948,4.114025,3643796969,2203709475,10,1438,217.47.237.233,131.89.240.35,,,,,
8949,4.114984,3296060531,3604825607,11,146,196.117.228.115,214.221.70.7,,,,,
8950,4.115075,2203709475,3643796969,10,64,131.89.240.35,217.47.237.233,,,,,
8951,4.115561,3643796969,2203709475,10,1438,217.47.237.233,131.89.240.35,,,,,
8952,4.1166,2203709475,3643796969,10,64,131.89.240.35,217.47.237.233,,,,,
8953,4.116773,3643796969,2203709475,10,1438,217.47.237.233,131.89.240.35,,,,,
8954,4.11689,3375374709,2203664931,10,115,201.48.33.117,131.89.66.35,,,,,
